sentence,naturalness,correctness
unserviceable hose on diff pump,3,3
cracked engine cover,5,5
repair bottom step bent cabin,3,1
audit missing motor cover latches,5,4
replace engine hood gas strut,5,5
inverter batteries arenot charged,5,5
rear door jammed,5,5
repair leak in slew brake pmp,5,5
blown hydrulic hose,5,5
tilt cylinder guard found brkn,3,5
hoist no4 motor overhaul-elec/mech,5,5
mech insp trk roll 0 lh,3,3
oil reels on tanker seized,5,5
blowing engi. air conditioner fuse,3,1
inspect and grease tunnel roller bearing,5,5
fuel leakingfrom fan pump,3,1
apply loctite on bot,3,1
ins cracks in stick,3,3
cooler pump bolt needsloctite,5,5
crack in windscreen,5,5
leak oil frtransmission hose,3,5
leaking chip indicators,3,1
dogbone bolt needxs loctite,3,5
left hand dash lights out,5,5
repair crack in rock deflector,5,5
rhr inner drive tyre needs replacing,5,5
replacing needed 4 carousel bolt,1,5
no grease in dogbone pin,5,5
coolant pipe clamps req loctite,5,5
drain & flush cooling system,5,5
fuel pressure reading inaccurate,3,5
hitch hose requires clean,5,5
oil leaking from brake filter hose,5,5
blower inverter batteries are discharging,3,5
replace u/s jockey wheel,5,5
repair hyd hoses see text,5,5
sgw brake hose is in need of repair,3,3
replace lube room door handle,5,5
replace dogbone pins and bushes,5,5
front rhs fire alarm,3,1
rh dump rope snapped,3,3
emptying d/rope pmp cavity,3,5
cracking on cov,3,3
drag limits reset,5,5
leaking hose on slew filter,3,3
left arm rest keeps droping down,5,5
replace broken bolt on imp valve,3,1
insp hyd cyl tong clamp,5,5
rep leaking brake pmp hose,5,5
replace lift hose rhs,5,5
