Code,MiniScore2,MiniScore,MpnetScore,RobertaScore
BRD,0.2424,0.259,0.2812,0.2597
PLU,0.2863,0.3041,0.3418,0.339
LEA,0.2949,0.3013,0.4298,0.3495
SER,0.248,0.2808,0.3017,0.2864
STD,0.2777,0.3091,0.3357,0.2871
NOI,0.3533,0.4173,0.3926,0.3521
FTS,0.5008,0.5424,0.5594,0.4514
VIB,0.5772,0.617,0.5525,0.5569
OHE,0.3862,0.4056,0.4207,0.377
FTF,0.203,0.2048,0.2072,0.2128
LOO,0.3186,0.3513,0.3782,0.326
ELE,0.3562,0.3786,0.3944,0.3723
STP,0.519,0.5473,0.567,0.5646
AIR,0.3624,0.3795,0.3919,0.2879
OTH,0.2292,0.2409,0.2603,0.2328
FTC,0.4497,0.504,0.5243,0.4057
CTM,0.5239,0.5425,0.5311,0.504
HIO,0.5629,0.6022,0.6783,0.6417
ERO,0.5115,0.5404,0.5677,0.4886
FRO,0.2296,0.2511,0.2843,0.2361
UST,0.4589,0.4865,0.4989,0.4118
FTO,0.3742,0.3776,0.3833,0.3394
